date,home_team,away_team,bet_type,model_prob,market_prob,edge,odds,stake,won,profit,bankroll,actual_result
2022-09-03,Nott'm Forest,Bournemouth,Away,0.4638009724262915,0.2631578947368421,0.2006430776894494,3.8,50.0,True,140.0,1140.0,A
2022-09-03,Wolves,Southampton,Away,0.4846954824602204,0.3076923076923077,0.17700317476791266,3.25,57.0,False,-57.0,1083.0,H
2022-09-18,Everton,West Ham,Home,0.548506699134645,0.3448275862068966,0.20367911292774843,2.9,54.150000000000006,True,102.88500000000002,1185.885,H
2022-10-08,Brighton,Tottenham,Away,0.5802180651933067,0.39603960396039606,0.1841784612329106,2.525,59.294250000000005,True,90.42373125,1276.30873125,A
2022-10-09,Crystal Palace,Leeds,Away,0.4727671514823767,0.28776978417266186,0.18499736730971483,3.475,63.8154365625,False,-63.8154365625,1212.4932946874999,H
2022-10-23,Leeds,Fulham,Away,0.42965247161577763,0.28169014084507044,0.1479623307707072,3.55,60.624664734374996,True,154.59289507265623,1367.0861897601562,A
2022-11-12,West Ham,Leicester,Away,0.4120909643178203,0.28169014084507044,0.13040082347274984,3.55,62.044660333869274,True,158.21388385136663,1525.3000736115227,A
2022-12-31,Bournemouth,Crystal Palace,Home,0.5334950787514205,0.34782608695652173,0.18566899179489882,2.875,76.26500368057614,False,-76.26500368057614,1449.0350699309465,A
2023-01-04,Southampton,Nott'm Forest,Away,0.44052620291087863,0.26666666666666666,0.17385953624421197,3.75,72.45175349654733,True,199.24232211550515,1648.2773920464517,A
2023-01-14,Wolves,West Ham,Home,0.5654437665821913,0.3795066413662239,0.1859371252159674,2.635,82.41386960232259,True,134.74667679979743,1783.024068846249,H
2023-01-22,Leeds,Brentford,Away,0.5015016924921125,0.34904013961605584,0.15246155287605667,2.865,89.15120344231246,False,-89.15120344231246,1693.8728654039367,D
2023-02-11,Southampton,Wolves,Home,0.5415473904706781,0.3389830508474576,0.2025643396232205,2.95,84.69364327019684,False,-84.69364327019684,1609.1792221337398,A
2023-02-24,Fulham,Wolves,Home,0.597658304796333,0.4,0.19765830479633295,2.5,80.458961106687,False,-80.458961106687,1528.7202610270529,D
2023-03-18,Wolves,Leeds,Away,0.46465252809689533,0.3053435114503817,0.15930901664651365,3.275,76.43601305135265,True,173.89192969182727,1702.6121907188801,A
2023-04-04,Leicester,Aston Villa,Away,0.519873425396133,0.35714285714285715,0.16273056825327586,2.8,85.13060953594402,True,153.23509716469923,1855.8472878835794,A
2023-04-08,Fulham,West Ham,Home,0.5614897971419537,0.3603603603603604,0.20112943678159328,2.775,92.79236439417897,False,-92.79236439417897,1763.0549234894004,A
2023-04-22,Brentford,Aston Villa,Away,0.4783220719213743,0.35398230088495575,0.12433977103641858,2.825,84.834303228689,False,-84.834303228689,1678.2206202607115,D
2023-04-29,Crystal Palace,West Ham,Home,0.5553736742125163,0.3738317757009346,0.18154189851158165,2.675,83.91103101303558,True,140.55097694683457,1818.7715972075462,H
2023-09-23,Crystal Palace,Fulham,Away,0.40647191690688145,0.2531645569620253,0.15330735994485617,3.95,90.93857986037732,False,-90.93857986037732,1727.8330173471688,D
2023-11-11,Crystal Palace,Everton,Away,0.4391695680079134,0.3361344537815126,0.10303511422640083,2.975,67.04199115340178,True,132.4079325279685,1860.2409498751374,A
2023-11-25,Newcastle,Chelsea,Home,0.5811014516191109,0.396039603960396,0.18506184765871486,2.5250000000000004,93.01204749375688,True,141.8433724279793,2002.0843223031168,H
2023-12-10,Tottenham,Newcastle,Away,0.45727983595483507,0.3401360544217687,0.11714378153306637,2.94,88.85609300002595,False,-88.85609300002595,1913.2282293030908,H
2024-01-20,Brentford,Nott'm Forest,Away,0.46813941510589346,0.26666666666666666,0.2014727484392268,3.75,95.66141146515454,False,-95.66141146515454,1817.5668178379362,H
2024-03-02,Fulham,Brighton,Home,0.5925476637357713,0.38167938931297707,0.2108682744227942,2.62,90.87834089189681,True,147.22291224487284,1964.789730082809,H
2024-08-24,Brighton,Manchester United,Home,0.586627085895999,0.4,0.18662708589599897,2.5,98.23948650414046,True,147.3592297562107,2112.14895983902,H
2024-10-19,Southampton,Leicester,Away,0.4870690336897516,0.3333333333333333,0.15373570035641826,3.0,105.607447991951,True,211.214895983902,2323.363855822922,A
2024-11-02,Southampton,Everton,Away,0.4826685052659452,0.38167938931297707,0.10098911595296811,2.62,94.8676373475288,False,-94.8676373475288,2228.496218475393,H
2024-11-09,Crystal Palace,Fulham,Away,0.5055526085280385,0.38167938931297707,0.12387321921506145,2.62,111.42481092376966,True,180.50819369650685,2409.0044121719,A
2024-12-14,Wolves,Ipswich,Away,0.40223041178996494,0.2631578947368421,0.13907251705312285,3.8,113.66963994042266,True,318.27499183318344,2727.2794040050835,A
2024-12-21,West Ham,Brighton,Home,0.5461573054448843,0.35714285714285715,0.18901444830202713,2.8,136.3639702002542,False,-136.3639702002542,2590.9154338048293,D
2025-01-18,West Ham,Crystal Palace,Home,0.5810822526935763,0.38167938931297707,0.1994028633805992,2.62,129.54577169024148,False,-129.54577169024148,2461.3696621145878,A
2025-02-02,Manchester United,Crystal Palace,Away,0.43905619173193855,0.2777777777777778,0.16127841395416076,3.6,123.0684831057294,True,319.9780560748965,2781.347718189484,A
2025-02-25,Wolves,Fulham,Away,0.5093558861387266,0.38167938931297707,0.12767649682574955,2.62,139.0673859094742,True,225.2891651733482,3006.636883362832,A
2025-03-08,Wolves,Everton,Away,0.5112190101456172,0.35714285714285715,0.15407615300276006,2.8,150.3318441681416,False,-150.3318441681416,2856.3050391946904,D
