market,edge,odds,model_prob,predicted_goals,actual_goals,won,profit_1u
Under 2.5,0.07528735632183914,1.74,0.65,2.33,2.0,True,0.74
Over 2.5,0.1402439024390244,1.64,0.75,3.63,4.0,True,0.6399999999999999
Over 2.5,0.10483870967741937,1.55,0.75,3.79,2.0,False,-1.0
Under 2.5,0.224468085106383,2.35,0.65,2.49,3.0,False,-1.0
Over 2.5,0.008974358974359053,1.56,0.65,3.02,5.0,True,0.56
Over 2.5,0.1288819875776398,1.61,0.75,3.59,3.0,True,0.6100000000000001
Over 2.5,0.125,1.6,0.75,3.69,4.0,True,0.6000000000000001
Over 2.5,0.12916666666666665,1.92,0.65,3.01,2.0,False,-1.0
Under 2.5,0.3166666666666667,3.0,0.65,2.4,2.0,True,2.0
Over 2.5,0.040243902439024426,1.64,0.65,3.37,2.0,False,-1.0
Under 2.5,0.25054945054945066,1.82,0.8,1.99,3.0,False,-1.0
Over 2.5,0.0475903614457831,1.66,0.65,3.38,1.0,False,-1.0
Over 2.5,0.21524064171123003,1.87,0.75,3.7,3.0,True,0.8700000000000001
Under 2.5,0.24514170040485833,2.47,0.65,2.0,2.0,True,1.4700000000000002
Over 2.5,0.13271604938271608,1.62,0.75,4.01,1.0,False,-1.0
Under 2.5,0.23158995815899586,2.39,0.65,2.48,4.0,False,-1.0
Under 2.5,0.20357142857142863,2.24,0.65,2.21,3.0,False,-1.0
Under 2.5,0.011403508771929749,2.28,0.44999999999999996,2.51,3.0,False,-1.0
Under 2.5,0.08262032085561499,3.74,0.35,3.48,7.0,False,-1.0
Over 2.5,0.05476190476190479,1.68,0.65,3.43,1.0,False,-1.0
Over 2.5,0.19134078212290506,1.79,0.75,3.83,1.0,False,-1.0
Under 2.5,0.10355191256830609,1.83,0.65,2.08,2.0,True,0.8300000000000001
Under 2.5,0.16671388101982998,3.53,0.44999999999999996,2.51,4.0,False,-1.0
Over 2.5,0.0475903614457831,1.66,0.65,3.2,2.0,False,-1.0
Over 2.5,0.05476190476190479,1.68,0.65,3.24,4.0,True,0.6799999999999999
Under 2.5,0.2047619047619048,1.68,0.8,1.76,2.0,True,0.6799999999999999
Under 2.5,0.13186528497409322,1.93,0.65,2.47,3.0,False,-1.0
Under 2.5,0.04839357429718877,2.49,0.44999999999999996,2.8,3.0,False,-1.0
Over 2.5,0.09444444444444444,1.8,0.65,3.31,3.0,True,0.8
Under 2.5,0.12368421052631584,1.9,0.65,2.28,6.0,False,-1.0
Under 2.5,0.05828402366863905,1.69,0.65,2.34,0.0,True,0.69
Under 2.5,0.12432432432432439,1.48,0.8,1.37,1.0,True,0.48
Over 2.5,0.1882022471910112,1.78,0.75,3.85,3.0,True,0.78
Over 2.5,0.22368421052631582,1.9,0.75,3.66,0.0,False,-1.0
Under 2.5,0.07857142857142863,1.75,0.65,2.34,4.0,False,-1.0
Over 2.5,0.21140350877192982,2.28,0.65,3.23,3.0,True,1.2799999999999998
Under 2.5,0.11236559139784952,1.86,0.65,2.42,3.0,False,-1.0
Over 2.5,0.05828402366863905,1.69,0.65,3.35,5.0,True,0.69
Over 2.5,0.12089947089947084,1.89,0.65,3.21,2.0,False,-1.0
Over 2.5,0.0006493506493506773,1.54,0.65,3.47,1.0,False,-1.0
Under 2.5,0.14640522875816997,1.53,0.8,1.96,1.0,True,0.53
Over 2.5,0.09751381215469612,1.81,0.65,3.24,3.0,True,0.81
Under 2.5,0.12643979057591626,1.91,0.65,2.25,3.0,False,-1.0
Under 2.5,0.1760663507109005,2.11,0.65,2.46,5.0,False,-1.0
Over 2.5,0.16860465116279066,1.72,0.75,3.75,1.0,False,-1.0
Over 2.5,0.19444444444444442,1.8,0.75,3.81,4.0,True,0.8
Over 2.5,0.14494949494949494,1.98,0.65,3.44,2.0,False,-1.0
Under 2.5,0.25054945054945066,1.82,0.8,1.41,0.0,True,0.8200000000000001
Under 2.5,0.1865030674846626,1.63,0.8,1.53,1.0,True,0.6299999999999999
Under 2.5,0.08502824858757063,1.77,0.65,2.27,1.0,True,0.77
Over 2.5,0.0475903614457831,1.66,0.65,3.3,2.0,False,-1.0
Under 2.5,0.08181818181818179,1.76,0.65,2.17,0.0,True,0.76
Over 2.5,0.029166666666666674,1.92,0.55,2.68,3.0,True,0.9199999999999999
Over 2.5,0.12643979057591626,1.91,0.65,3.12,2.0,False,-1.0
Over 2.5,0.06456310679611654,2.06,0.55,2.73,2.0,False,-1.0
Over 2.5,0.021069182389937158,1.59,0.65,3.39,3.0,True,0.5900000000000001
Under 2.5,0.004838709677419395,1.55,0.65,2.27,3.0,False,-1.0
Under 2.5,0.11808510638297876,1.88,0.65,2.24,0.0,True,0.8799999999999999
Under 2.5,0.19337899543378995,2.19,0.65,2.33,4.0,False,-1.0
Over 2.5,0.27153110047846885,2.09,0.75,3.51,2.0,False,-1.0
Over 2.5,0.16690821256038646,2.07,0.65,3.32,1.0,False,-1.0
Over 2.5,0.09444444444444444,1.8,0.65,3.37,2.0,False,-1.0
Over 2.5,0.06923076923076932,2.08,0.55,2.89,1.0,False,-1.0
Under 2.5,0.1630573248407644,1.57,0.8,1.63,1.0,True,0.5700000000000001
Over 2.5,0.1692307692307693,2.08,0.65,3.41,3.0,True,1.08
Over 2.5,0.1848837209302326,2.15,0.65,3.21,4.0,True,1.15
Under 2.5,0.08502824858757063,1.77,0.65,2.31,1.0,True,0.77
Under 2.5,0.18051643192488265,2.13,0.65,2.24,3.0,False,-1.0
Over 2.5,0.003551912568306115,1.83,0.55,2.87,5.0,True,0.8300000000000001
Over 2.5,0.11808510638297876,1.88,0.65,3.39,2.0,False,-1.0
Over 2.5,0.07196531791907512,1.73,0.65,3.02,4.0,True,0.73
Under 2.5,0.11777408637873749,3.01,0.44999999999999996,2.84,5.0,False,-1.0
Under 2.5,0.12368421052631584,1.9,0.65,2.48,2.0,True,0.8999999999999999
Under 2.5,0.08820224719101122,1.78,0.65,2.1,3.0,False,-1.0
Over 2.5,0.14494949494949494,1.98,0.65,3.4,3.0,True,0.98
Under 2.5,0.10054945054945064,1.82,0.65,2.31,2.0,True,0.8200000000000001
Over 2.5,0.22089947089947082,1.89,0.75,3.93,5.0,True,0.8899999999999999
Under 2.5,0.3345425867507887,3.17,0.65,2.46,1.0,True,2.17
